boles³awiecki;1,9;5,6;dolnoœlaskie
dzier¿oniowski;1,9;6,8;dolnoœlaskie
g³ogowski;2,2;7,8;dolnoœlaskie
górowski;1,7;15,7;dolnoœlaskie
jaworski;1,9;11,3;dolnoœlaskie
jeleniogórski;1,9;10,1;dolnoœlaskie
kamiennogórski;1,1;8,0;dolnoœlaskie
k³odzki;6,2;12,6;dolnoœlaskie
legnicki;1,9;8,7;dolnoœlaskie
lubañski;1,5;8,9;dolnoœlaskie
lubiñski;1,8;5,0;dolnoœlaskie
lwówecki;1,5;11,5;dolnoœlaskie
milicki;0,9;6,9;dolnoœlaskie
oleœnicki;2,6;6,7;dolnoœlaskie
o³awski;1,8;4,9;dolnoœlaskie
polkowicki;1,8;4,8;dolnoœlaskie
strzeliñski;1,6;11,2;dolnoœlaskie
œredzki;1,3;5,8;dolnoœlaskie
œwidnicki;4,0;6,9;dolnoœlaskie
trzebnicki;1,7;5,5;dolnoœlaskie
wa³brzyski;1,8;14,9;dolnoœlaskie
wo³owski;2,0;11,7;dolnoœlaskie
wroc³awski;1,7;2,0;dolnoœlaskie
z¹bkowicki;2,2;10,2;dolnoœlaskie
zgorzelecki;1,6;6,0;dolnoœlaskie
z³otoryjski;1,9;14,2;dolnoœlaskie
m. Jelenia Góra;1,5;4,6;dolnoœlaskie
m. Legnica;2,6;5,7;dolnoœlaskie
m. Wroc³aw;9,6;2,4;dolnoœlaskie
m. Wa³brzych;2,4;6,0;dolnoœlaskie
aleksandrowski;2,9;14,8;KUJAWSKO-POMORSKIE
brodnicki;2,6;8,4;KUJAWSKO-POMORSKIE
bydgoski;2,2;5,2;KUJAWSKO-POMORSKIE
che³miñski;2,3;13,2;KUJAWSKO-POMORSKIE
golubsko-dobrzyñski;2,2;11,9;KUJAWSKO-POMORSKIE
grudzi¹dzki;1,9;12,3;KUJAWSKO-POMORSKIE
inowroc³awski;7,5;12,7;KUJAWSKO-POMORSKIE
lipnowski;3,6;15,9;KUJAWSKO-POMORSKIE
mogileñski;1,8;10,7;KUJAWSKO-POMORSKIE
nakielski;3,6;12,8;KUJAWSKO-POMORSKIE
radziejowski;2,6;16,2;KUJAWSKO-POMORSKIE
rypiñski;1,7;10,5;KUJAWSKO-POMORSKIE
sêpoleñski;1,8;12,3;KUJAWSKO-POMORSKIE
œwiecki;2,4;7,2;KUJAWSKO-POMORSKIE
toruñski;3,8;10,5;KUJAWSKO-POMORSKIE
tucholski;2,0;11,0;KUJAWSKO-POMORSKIE
w¹brzeski;1,8;13,0;KUJAWSKO-POMORSKIE
w³oc³awski;5,0;14,6;KUJAWSKO-POMORSKIE
¿niñski;2,5;10,2;KUJAWSKO-POMORSKIE
m. Bydgoszcz;5,8;3,6;KUJAWSKO-POMORSKIE
m. Grudzi¹dz;4,0;11,7;KUJAWSKO-POMORSKIE
m. Toruñ;4,4;4,7;KUJAWSKO-POMORSKIE
m. W³oc³awek;4,9;10,9;KUJAWSKO-POMORSKIE
bialski;4,7;10,3;LUBELSKIE
bi³gorajski;2,5;5,3;LUBELSKIE
che³mski;4,0;12,9;LUBELSKIE
hrubieszowski;3,4;12,9;LUBELSKIE
janowski;2,2;9,2;LUBELSKIE
krasnostawski;3,3;11,7;LUBELSKIE
kraœnicki;4,7;10,9;LUBELSKIE
lubartowski;4,2;11,3;LUBELSKIE
lubelski;3,4;5,8;LUBELSKIE
³êczyñski;1,5;5,7;LUBELSKIE
³ukowski;2,2;4,6;LUBELSKIE
opolski;2,5;9,3;LUBELSKIE
parczewski;1,0;7,2;LUBELSKIE
pu³awski;3,2;6,6;LUBELSKIE
radzyñski;1,7;6,8;LUBELSKIE
rycki;1,7;7,6;LUBELSKIE
œwidnicki;2,5;9,3;LUBELSKIE
tomaszowski;2,9;8,0;LUBELSKIE
w³odawski;2,2;16,0;LUBELSKIE
zamojski;4,2;9,4;LUBELSKIE
m. Bia³a Podlaska;2,6;10,8;LUBELSKIE
m. Che³m;2,7;12,0;LUBELSKIE
m. Lublin;10,3;5,6;LUBELSKIE
m. Zamoœæ;2,8;10,0;LUBELSKIE
gorzowski;1,4;5,3;LUBUSKIE
kroœnieñski;1,7;9,3;LUBUSKIE
miêdzyrzecki;1,9;10,1;LUBUSKIE
nowosolski;1,9;7,1;LUBUSKIE
s³ubicki;0,6;3,7;LUBUSKIE
strzelecko-drezdenecki;1,8;10,4;LUBUSKIE
sulêciñski;0,8;6,7;LUBUSKIE
œwiebodziñski;1,4;5,5;LUBUSKIE
zielonogórski;2,1;8,2;LUBUSKIE
¿agañski;1,8;9,0;LUBUSKIE
¿arski;2,1;6,8;LUBUSKIE
wschowski;1,2;9,0;LUBUSKIE
m. Gorzów Wielkopolski;2,2;4,0;LUBUSKIE
m. Zielona Góra;2,7;4,0;LUBUSKIE
be³chatowski;2,8;5,5; £ÓDZKIE
kutnowski;3,4;8,2; £ÓDZKIE
³aski;1,5;8,0; £ÓDZKIE
³êczycki;1,3;6,1; £ÓDZKIE
³owicki;1,8;5,5; £ÓDZKIE
³ódzki wschodni;2,0;6,6; £ÓDZKIE
opoczyñski;2,1;6,8; £ÓDZKIE
pabianicki;3,3;6,8; £ÓDZKIE
pajêczañski;1,7;8,0; £ÓDZKIE
piotrkowski;2,0;5,7; £ÓDZKIE
poddêbicki;1,3;6,8; £ÓDZKIE
radomszczañski;2,5;5,6; £ÓDZKIE
rawski;0,8;3,7; £ÓDZKIE
sieradzki;3,2;5,9; £ÓDZKIE
skierniewicki;0,7;4,0; £ÓDZKIE
tomaszowski;3,8;7,8; £ÓDZKIE
wieluñski;2,0;6,2; £ÓDZKIE
wieruszowski;1,0;4,9; £ÓDZKIE
zduñskowolski;1,8;7,0; £ÓDZKIE
zgierski;4,0;6,4; £ÓDZKIE
brzeziñski;0,9;7,5; £ÓDZKIE
m. £ódŸ;20,9;6,0; £ÓDZKIE
m. Piotrków Trybunalski;2,0;6,1; £ÓDZKIE
m. Skierniewice;1,1;6,4; £ÓDZKIE
bocheñski;1,7;4,1;MA£OPOLSKIE
brzeski;2,0;5,4;MA£OPOLSKIE
