boles³awiecki;1,6;4,8;dolnoœlaskie
dzier¿oniowski;1,5;5,4;dolnoœlaskie
g³ogowski;2,2;7,7;dolnoœlaskie
górowski;1,5;14,4;dolnoœlaskie
jaworski;1,6;9,9;dolnoœlaskie
karkonoski;1,9;9,9;dolnoœlaskie
kamiennogórski;0,8;6;dolnoœlaskie
k³odzki;5,6;11,6;dolnoœlaskie
legnicki;1,8;7,9;dolnoœlaskie
lubañski;1,2;7,1;dolnoœlaskie
lubiñski;1,4;3,9;dolnoœlaskie
lwówecki;1,2;9;dolnoœlaskie
milicki;0,7;5,3;dolnoœlaskie
oleœnicki;2,2;5,8;dolnoœlaskie
o³awski;1,5;4;dolnoœlaskie
polkowicki;1,6;4,4;dolnoœlaskie
strzeliñski;1,5;10,5;dolnoœlaskie
œredzki;1,3;5,5;dolnoœlaskie
œwidnicki;3,4;5,8;dolnoœlaskie
trzebnicki;1,4;4,7;dolnoœlaskie
wa³brzyski;1,6;13,3;dolnoœlaskie
wo³owski;1,9;11,1;dolnoœlaskie
wroc³awski;1,7;2;dolnoœlaskie
z¹bkowicki;1,9;8,9;dolnoœlaskie
zgorzelecki;1,5;5,5;dolnoœlaskie
z³otoryjski;1,6;12;dolnoœlaskie
m. Jelenia Góra;1,2;3,7;dolnoœlaskie
m. Legnica;2,4;5,4;dolnoœlaskie
m. Wroc³aw;8,9;2,2;dolnoœlaskie
m. Wa³brzych;1,8;4,7;dolnoœlaskie
aleksandrowski;2,3;11,8;KUJAWSKO-POMORSKIE
brodnicki;1,9;6,2;KUJAWSKO-POMORSKIE
bydgoski;1,9;4,4;KUJAWSKO-POMORSKIE
che³miñski;2;11,4;KUJAWSKO-POMORSKIE
golubsko-dobrzyñski;1,9;10,5;KUJAWSKO-POMORSKIE
grudzi¹dzki;1,8;11,9;KUJAWSKO-POMORSKIE
inowroc³awski;6,7;11,5;KUJAWSKO-POMORSKIE
lipnowski;2,8;12,8;KUJAWSKO-POMORSKIE
mogileñski;1,6;9,5;KUJAWSKO-POMORSKIE
nakielski;3;10,7;KUJAWSKO-POMORSKIE
radziejowski;2,2;14,3;KUJAWSKO-POMORSKIE
rypiñski;1,3;8,1;KUJAWSKO-POMORSKIE
sêpoleñski;1,5;10,2;KUJAWSKO-POMORSKIE
œwiecki;2;6;KUJAWSKO-POMORSKIE
toruñski;3,5;9,8;KUJAWSKO-POMORSKIE
tucholski;1,7;9,5;KUJAWSKO-POMORSKIE
w¹brzeski;1,5;11,3;KUJAWSKO-POMORSKIE
w³oc³awski;4,4;13;KUJAWSKO-POMORSKIE
¿niñski;2,1;8,8;KUJAWSKO-POMORSKIE
m. Bydgoszcz;4,6;2,8;KUJAWSKO-POMORSKIE
m. Grudzi¹dz;3,9;11,5;KUJAWSKO-POMORSKIE
m. Toruñ;3,6;3,9;KUJAWSKO-POMORSKIE
